Coreclockgenes	NumberofTotalInteractions	Circadiannoncoreclock	NumberofTotalInteractions
NA	NA	Galnt1	  4
NA	NA	Ganab	 54
NA	NA	Gas6	  8
NA	NA	Gbp7	 22
NA	NA	Gch1	  3
NA	NA	Gda	 15
NA	NA	Gdap10	 28
NA	NA	Gde1	 29
NA	NA	Gfer	 24
NA	NA	Gfod2	 22
NA	NA	Gfra1	 47
NA	NA	Gga2	  8
NA	NA	Ggt6	 26
NA	NA	Gjb1	  5
NA	NA	Gle1	  8
NA	NA	Glo1	  4
NA	NA	Glrx	 11
NA	NA	Glt25d1	 15
NA	NA	Gltscr2	 35
NA	NA	Gm11128	  3
NA	NA	Gm11266	 52
NA	NA	Gm11492	  5
NA	NA	Gm11583	  2
NA	NA	Gm11832	 63
NA	NA	Gm129	  3
NA	NA	Gm14097	 39
NA	NA	Gm14720	 10
NA	NA	Gm15590	 15
NA	NA	Gm15690	 19
NA	NA	Gm16573	  3
NA	NA	Gm16731	  7
NA	NA	Gm16845	 12
NA	NA	Gm17566	  3
NA	NA	Gm20522	 27
NA	NA	Gm4952	 47
NA	NA	Gm6907	 30
NA	NA	Gm9806	  5
NA	NA	Gm9817	  2
NA	NA	Gmnn	 15
NA	NA	Gne	  1
NA	NA	Gng12	 38
NA	NA	Gnl1	  9
NA	NA	Golga2	  5
NA	NA	Gpam	  6
NA	NA	Gpatch8	  6
NA	NA	Gpbp1l1	  9
NA	NA	Gpcpd1	 28
NA	NA	Gpd1l	 11
NA	NA	Gpi1	 26
NA	NA	Gpr135	 17
NA	NA	Gpr137	  4
NA	NA	Gpr155	  2
NA	NA	Gpr180	  3
NA	NA	Gpr97	 14
NA	NA	Gpt2	  4
NA	NA	Gramd3	 23
NA	NA	Grb14	 27
NA	NA	Grk5	 35
NA	NA	Grk6	 24
NA	NA	Grpel1	 41
NA	NA	Gsdma	 22
NA	NA	Gsk3a	 58
NA	NA	Gss	  9
NA	NA	Gsta3	  8
NA	NA	Gstm4	 19
NA	NA	Gtf2f1	 27
NA	NA	Gtf2ird1	 24
NA	NA	Gtf2ird2	 93
NA	NA	Gusb	  6
NA	NA	Gys2	  5
NA	NA	Hapln4	 61
NA	NA	Haus4	 59
NA	NA	Hbp1	 15
NA	NA	Hdac5	 13
NA	NA	Hdgf	  6
NA	NA	Hdhd3	 53
NA	NA	Heatr5a	 26
NA	NA	Herc3	  1
NA	NA	Herc4	 33
NA	NA	Hes6	 26
NA	NA	Hexim1	  6
NA	NA	Hfe2	  6
NA	NA	Hist1h1c	 42
NA	NA	Hist1h2bc	112
NA	NA	Hist1h4a	 35
NA	NA	Hist2h2bb	 24
NA	NA	Hist2h3c2	 30
NA	NA	Hmga1	  6
NA	NA	Hmgcr	  1
NA	NA	Hmgxb3	  1
NA	NA	Hnf1a	  6
NA	NA	Hnf4a	 12
NA	NA	Hnrnpk	  5
NA	NA	Hnrnpl	 25
NA	NA	Hnrnpul1	 25
NA	NA	Hnrpdl	 40
NA	NA	Homer2	  8
NA	NA	Hook2	 34
NA	NA	Hps1	 11
NA	NA	Hps4	 18
NA	NA	Hs1bp3	 71
NA	NA	Hs6st1	 23
NA	NA	Hsd17b2	 25
NA	NA	Hsdl1	 16
NA	NA	Hsp90aa1	 20
NA	NA	Hsp90ab1	  8
NA	NA	Hspa1a	 16
NA	NA	Hspa1b	 15
NA	NA	Hspa2	 10
NA	NA	Hspa4l	  7
NA	NA	Hspa8	 18
NA	NA	Hyou1	  7
NA	NA	Idh3a	  1
NA	NA	Ido2	  7
NA	NA	Ifih1	  1
NA	NA	Ifrd2	  9
NA	NA	Ift140	  5
NA	NA	Ift46	  9
NA	NA	Igf2r	 22
NA	NA	Igfbp4	 19
NA	NA	Igsf8	  9
NA	NA	Il4ra	 20
NA	NA	Inca1	 46
NA	NA	Ino80	  4
NA	NA	Insig2	 11
NA	NA	Ints10	  4
NA	NA	Ints3	 76
NA	NA	Intu	 34
NA	NA	Invs	  6
NA	NA	Ip6k2	  3
NA	NA	Ipo5	  4
NA	NA	Irak2	 12
NA	NA	Itch	  7
NA	NA	Itga8	 11
NA	NA	Itgb1	  1
NA	NA	Itpr1	 34
NA	NA	Ivns1abp	 58
NA	NA	Junb	 16
NA	NA	Kat2b	 58
NA	NA	Kbtbd12	 17
NA	NA	Kbtbd8	  3
NA	NA	Kdm3a	  9
NA	NA	Kdm5a	  8
NA	NA	Kifc3	 17
NA	NA	Klc4	  6
NA	NA	Klf11	 24
NA	NA	Klf13	 52
NA	NA	Klhdc5	  1
NA	NA	Klhl21	 19
NA	NA	Klhl24	 13
NA	NA	Kpna2	 27
NA	NA	Kpnb1	  3
NA	NA	Ktn1	  4
NA	NA	L2hgdh	 59
NA	NA	Lad1	  4
NA	NA	Lars	 22
NA	NA	Lasp1	 19
NA	NA	Lclat1	  4
NA	NA	Leap2	  5
NA	NA	Leo1	 11
NA	NA	Leprot	 28
NA	NA	Lgals9	 17
NA	NA	Lgr4	 70
NA	NA	Lhpp	  3
NA	NA	Lin9	 16
NA	NA	Llgl2	  7
NA	NA	Lman1	  2
NA	NA	Lman2	 18
NA	NA	Lmbr1l	 12
NA	NA	Lmbrd1	 22
NA	NA	Lmf2	 45
NA	NA	Lmnb2	 29
NA	NA	Lmod2	  1
NA	NA	Lnx2	 38
NA	NA	Loh12cr1	 67
NA	NA	Lonp2	 12
NA	NA	Lonrf3	 10
NA	NA	Loxl4	  8
NA	NA	Lpcat3	 46
NA	NA	Lpin1	 18
NA	NA	Lpin2	 50
NA	NA	Lpin3	 58
NA	NA	Lrfn3	 21
NA	NA	Lrp4	 46
NA	NA	Lrp5	 21
NA	NA	Lrrc28	 24
NA	NA	Lrrc3	  7
NA	NA	Lsm11	 11
NA	NA	Lyn	 38
NA	NA	Lypla2	 17
NA	NA	Lysmd1	 21
NA	NA	Mad2l2	 14
NA	NA	Mafb	 45
NA	NA	Maff	 11
NA	NA	Magix	  8
NA	NA	Magt1	  9
NA	NA	Man2a1	 13
NA	NA	Man2b1	 21
NA	NA	Manba	  4
NA	NA	Manf	 57
NA	NA	Mapk6	 18
NA	NA	March5	 41
NA	NA	March7	 36
NA	NA	Mark2	 29
NA	NA	Marveld1	 11
NA	NA	Mat2b	 17
NA	NA	Mbnl2	 25
NA	NA	Mcart1	 22
NA	NA	Mcfd2	 15
NA	NA	Mcoln1	 12
NA	NA	Mcph1	  3
NA	NA	Mctp2	  7
NA	NA	Med13l	 14
NA	NA	Mfn1	 15
NA	NA	Mfsd1	  3
NA	NA	Mfsd2a	 35
NA	NA	Mgrn1	 18
NA	NA	Mical2	 10
NA	NA	Micalcl	 68
NA	NA	Miip	 11
NA	NA	Minpp1	 43
NA	NA	Mknk2	 11
NA	NA	Mlec	  4
NA	NA	Mlf1ip	 18
NA	NA	Mllt1	 19
NA	NA	Mllt3	 17
NA	NA	Mob3a	 27
NA	NA	Mogs	 30
NA	NA	Morc3	  1
NA	NA	Mov10	  8
NA	NA	Mpdz	  3
NA	NA	Mpp7	  5
NA	NA	Mpst	 11
NA	NA	Mrap	 19
NA	NA	Mre11a	 23
NA	NA	Mreg	 10
NA	NA	Mrpl34	 17
NA	NA	Mrpl36	  8
NA	NA	Mrps6	  8
NA	NA	Mrps9	  1
NA	NA	Mta1	 53
NA	NA	Mta3	  5
NA	NA	Mterfd2	 68
NA	NA	Mtfp1	  3
NA	NA	Mthfd1l	 55
NA	NA	Mtm1	  2
NA	NA	Mtor	 17
NA	NA	Mtrr	  2
NA	NA	Mtx3	  4
NA	NA	Mvp	 40
NA	NA	Mypop	  7
NA	NA	Nadk	 21
NA	NA	Nags	 14
NA	NA	Nampt	 28
NA	NA	Naprt1	 12
NA	NA	Narf	 21
NA	NA	Nbeal2	 39
NA	NA	Ndel1	 15
NA	NA	Ndfip1	 11
NA	NA	Ndufaf4	 13
NA	NA	Nedd4l	 24
NA	NA	Nhlrc2	 28
NA	NA	Nmd3	  6
NA	NA	Nme2	 83
NA	NA	Noa1	 30
NA	NA	Nolc1	 59
NA	NA	Nomo1	  8
NA	NA	Nop16	 21
NA	NA	Nploc4	  9
NA	NA	Nqo1	  4
NA	NA	Nr2f2	  7
NA	NA	Nr2f6	 11
NA	NA	Nrg4	  5
NA	NA	Nsfl1c	 11
NA	NA	Nsmce2	 13
NA	NA	Nt5m	  2
NA	NA	Nudcd2	 12
NA	NA	Nup133	  2
NA	NA	Nup88	  8
NA	NA	Obfc2a	 28
NA	NA	Odc1	 46
NA	NA	Odf3b	 20
NA	NA	Opa3	 17
NA	NA	Ormdl3	  9
NA	NA	Osbpl1a	  4
NA	NA	Osbpl2	  3
NA	NA	Osbpl5	 13
NA	NA	Osgin1	 13
NA	NA	Ostm1	  1
NA	NA	Otub1	 39
NA	NA	P2rx4	 11
NA	NA	P4ha1	 11
NA	NA	P4ha2	  5
NA	NA	P4hb	 29
NA	NA	Pak1ip1	 28
NA	NA	Palm	 23
NA	NA	Papss1	 34
NA	NA	Pard6b	  2
NA	NA	Parp16	  2
NA	NA	Pbrm1	  4
NA	NA	Pcdh1	 69
NA	NA	Pcdhb21	  7
NA	NA	Pck1	 22
NA	NA	Pcnt	  2
NA	NA	Pcsk4	  8
NA	NA	Pcyox1	 23
NA	NA	Pcyt1a	  2
NA	NA	Pdcd4	 23
NA	NA	Pdcd6	 20
NA	NA	Pde4c	 39
NA	NA	Pde9a	  6
NA	NA	Pdia4	  2
NA	NA	Pdxk	  4
NA	NA	Pdxp	 10
NA	NA	Pfkfb1	  5
NA	NA	Pfkfb2	 48
NA	NA	Pgk1	  9
NA	NA	Pgm2l1	  4
NA	NA	Pgp	 47
NA	NA	Phf14	  5
NA	NA	Phf17	 12
NA	NA	Phf20	  3
NA	NA	Phka2	  5
NA	NA	Phldb3	 13
NA	NA	Pi4k2b	  4
NA	NA	Pik3ap1	 32
NA	NA	Pik3c2a	 32
NA	NA	Pik3c3	  3
NA	NA	Pim1	  8
NA	NA	Pim3	 66
NA	NA	Pion	 26
NA	NA	Pip4k2b	  3
NA	NA	Pitpnc1	 23
NA	NA	Pitx3	 21
NA	NA	Pknox1	  6
NA	NA	Pla2g12b	 20
NA	NA	Plcl2	 25
NA	NA	Pld6	  3
NA	NA	Plekha3	  9
NA	NA	Plekha8	 17
NA	NA	Plekhf2	 17
NA	NA	Plekhg3	 14
NA	NA	Plin5	 38
NA	NA	Plod1	 39
NA	NA	Plscr1	 35
NA	NA	Pnkd	 36
NA	NA	Pnkp	 14
NA	NA	Pnpla1	  9
NA	NA	Pnpla2	 37
NA	NA	Pnrc1	 17
NA	NA	Poc1a	 48
