1	6	0	3	46	2	6	26	8	33	10	3	13	27	41	8	5	16	1	2	8	0	17	3	4	14
17	0	4	5	4	18	0	25	5	19	1	17	4	2	0	35	3	7	0	1	3	0	1	25	9	11
108	5	5	7	4	51	5	10	17	13	4	4	16	0	6	6	3	13	0	11	35	17	6	2	4	17
4	8	4	17	48	8	0	52	14	12	14	5	5	0	2	5	3	1	7	19	34	29	22	30	0	8
3	3	45	7	45	35	5	39	7	27	7	6	26	0	9	3	7	8	1	16	5	1	15	20	11	27
13	2	35	0	14	5	4	11	3	9	10	8	0	9	23	1	21	2	14	89	0	4	2	0	8	20
16	5	3	14	6	2	11	11	3	4	9	1	24	8	17	0	13	2	21	5	16	7	14	19	6	0
2	28	8	19	0	0	0	7	0	4	19	58	1	4	10	23	26	9	10	0	21	1	9	10	4	26
78	50	16	20	31	9	8	29	1	1	12	47	11	15	25	3	7	12	0	4	8	7	0	12	8	13
24	8	1	32	8	2	1	52	14	42	2	21	3	3	7	3	14	2	15	9	7	4	4	4	37	9
43	5	5	6	0	13	21	31	8	5	16	8	18	15	1	2	9	16	3	11	28	25	12	4	24	8
19	1	8	3	1	9	1	5	1	2	10	2	22	3	37	7	28	22	7	10	5	5	6	1	17	7
52	35	1	2	1	7	0	9	19	43	17	22	2	0	4	28	32	5	11	13	4	1	0	14	16	1
27	41	22	0	1	42	3	16	14	13	6	17	21	67	6	21	19	4	21	3	2	9	20	17	42	11
22	40	2	13	19	2	48	16	32	15	9	16	50	17	6	25	15	0	13	14	3	48	3	3	0	1
8	36	2	27	1	9	14	4	9	1	5	3	11	14	78	1	29	15	41	2	4	1	26	19	43	9
32	8	16	13	1	1	10	2	37	0	0	2	32	25	20	8	14	28	20	4	20	1	94	87	5	22
64	8	24	37	6	6	14	13	35	4	3	4	19	3	2	3	15	2	2	6	52	39	18	8	4	6
29	2	2	16	6	22	11	6	1	4	10	13	3	11	38	32	22	43	3	6	0	21	9	33	28	13
0	8	2	0	91	2	2	9	0	8	1	6	27	2	2	6	8	5	5	9	11	5	18	8	41	31
41	12	25	2	15	8	6	13	2	9	6	0	6	4	6	0	2	14	0	4	1	2	13	28	39	16
3	23	9	6	31	32	13	3	17	2	8	33	11	28	10	7	132	3	47	3	1	2	19	8	6	7
26	2	2	6	22	39	2	5	15	0	2	6	8	1	41	2	13	9	23	1	4	5	0	5	20	7
25	3	28	0	4	32	21	13	14	1	15	1	4	3	67	19	40	11	4	22	6	11	0	35	3	48
0	3	45	42	25	7	9	10	2	42	2	13	11	11	3	56	2	4	25	11	1	5	2	20	0	21
14	2	8	34	16	7	0	0	24	13	4	45	20	5	4	25	5	6	5	8	13	1	16	17	25	4
31	14	5	20	21	31	3	27	15	10	4	6	0	28	1	8	4	14	1	0	16	17	18	1	0	10
64	13	29	8	1	5	1	24	11	0	9	1	17	5	42	13	18	3	5	0	13	4	2	11	25	5
11	10	34	0	5	9	4	14	6	17	9	10	6	3	2	0	14	4	56	4	15	2	21	17	3	1
4	10	1	4	2	4	25	14	11	13	2	13	10	7	3	19	4	0	7	37	35	15	21	16	36	15
11	8	0	19	15	82	5	7	5	56	5	4	3	7	2	3	16	11	1	4	2	5	4	6	10	64
2	29	27	4	3	5	13	19	10	3	21	4	11	4	64	5	3	9	8	8	5	34	29	29	13	16
35	39	2	11	8	24	45	13	0	14	6	32	22	24	19	12	3	25	1	20	12	14	17	9	25	26
8	3	5	8	7	4	5	3	55	5	6	25	11	3	7	4	8	4	9	10	5	4	0	53	8	10
10	5	21	26	2	14	1	56	16	38	16	37	5	6	11	0	34	26	6	5	2	0	0	24	1	5
3	4	1	8	25	17	24	2	2	4	31	18	10	16	1	2	4	4	18	28	5	0	0	10	33	10
0	6	9	38	21	16	14	2	25	4	41	16	29	3	6	50	1	3	5	3	32	51	8	16	8	6
4	4	2	37	4	4	2	21	6	1	61	2	11	3	50	15	17	7	3	1	2	28	8	10	0	0
56	6	56	18	3	15	11	3	0	23	11	0	3	15	1	4	3	3	28	51	12	61	17	4	5	10
19	1	22	2	4	19	6	6	7	0	5	26	13	3	30	4	25	2	33	4	23	6	24	11	5	8
6	25	4	10	17	16	5	2	5	4	108	53	4	120	16	12	3	2	6	8	1	10	4	29	16	13
50	5	22	25	2	15	11	0	33	26	12	4	25	15	22	36	0	10	2	4	33	18	2	2	0	1
15	2	13	6	36	1	10	0	24	12	4	40	8	36	0	27	3	1	7	13	7	11	15	6	7	3
15	25	13	3	13	48	17	56	2	0	0	22	7	1	7	18	4	15	1	1	25	2	15	0	5	1
0	0	0	13	13	2	3	16	5	39	19	8	28	48	3	5	9	4	13	7	38	18	10	7	0	12
10	26	5	4	0	7	24	0	27	3	11	3	4	11	25	8	4	1	9	0	37	2	28	40	4	18
13	20	41	3	26	6	35	56	4	7	3	16	6	11	8	6	1	13	107	3	8	8	5	87	34	3
5	14	8	11	1	4	4	24	1	34	7	10	4	3	3	3	30	8	1	0	91	2	3	4	6	16
4	11	16	20	16	5	0	3	22	1	1	33	3	27	2	51	14	3	6	4	9	24	2	0	78	4
6	15	4	17	22	13	12	24	37	6	28	1	1	14	62	9	10	0	21	21	6	2	14	9	32	31
16	2	3	1	3	6	27	13	8	4	31	6	8	3	4	18	4	70	13	7	8	82	8	26	4	2
6	15	10	1	40	2	16	20	3	14	14	10	5	1	4	2	82	5	6	4	1	22	9	16	30	40
45	14	3	0	27	2	2	5	0	3	39	9	25	25	23	14	4	5	61	16	6	19	3	10	9	13
3	1	2	0	6	13	4	27	20	2	12	6	7	13	12	1	7	0	15	1	2	0	13	10	8	3
8	2	2	13	1	9	1	40	13	0	0	4	5	19	29	2	3	3	14	2	18	4	5	1	19	14
2	22	29	16	50	12	2	19	11	51	7	10	16	10	2	27	14	25	3	27	0	11	7	3	2	22
2	6	6	10	4	13	4	10	73	23	13	4	6	51	1	14	2	16	32	2	26	10	32	9	0	17
8	9	9	15	8	1	2	17	14	8	8	8	4	6	16	56	1	6	1	5	25	6	3	4	31	31
3	11	2	26	1	1	5	3	11	3	2	11	0	8	2	11	10	15	11	15	14	16	8	3	17	47
14	9	25	9	2	4	10	13	31	30	4	0	3	1	11	5	6	56	1	6	4	40	4	35	28	3
16	3	48	12	0	3	21	9	14	1	29	5	4	7	3	34	48	14	32	47	0	64	3	11	5	10
13	12	3	13	7	1	15	14	25	1	34	20	12	6	13	1	6	16	9	10	17	17	5	4	2	6
10	42	3	2	4	7	28	2	7	34	2	10	15	6	0	27	9	7	1	5	94	6	2	8	8	13
3	7	1	14	25	3	5	0	11	18	28	13	10	15	21	3	16	2	7	3	4	6	14	58	6	29
6	40	1	1	14	23	2	16	3	11	39	2	1	4	17	23	38	9	3	4	14	86	6	1	23	3
9	47	3	4	40	5	2	11	38	4	2	10	3	14	22	3	26	5	1	6	5	62	8	16	2	3
28	18	4	11	4	13	7	10	2	4	11	5	7	6	0	17	1	2	13	19	0	67	1	54	4	1
3	20	24	25	1	16	22	4	12	11	55	17	5	17	14	11	1	19	42	10	4	2	0	24	23	19
3	22	0	1	4	8	0	31	47	3	6	4	1	1	19	4	56	2	30	14	5	27	2	11	54	53
2	2	18	2	3	4	16	8	22	10	2	5	8	17	6	1	9	6	11	30	2	20	13	6	12	1
1	19	13	3	13	2	3	16	22	2	29	25	14	6	1	0	108	24	5	3	5	4	5	2	11	10
1	14	3	3	1	2	4	9	9	1	25	10	3	47	11	6	32	10	11	4	3	3	33	14	33	6
26	26	45	27	22	15	9	37	17	20	4	42	48	40	13	0	6	4	5	17	0	5	5	2	6	3
20	7	25	11	1	0	1	35	14	3	8	23	20	0	11	9	11	9	13	4	37	52	3	6	7	13
13	8	2	24	1	61	9	10	9	2	13	38	7	3	18	1	2	7	50	0	2	0	28	0	2	1
